player,minutes,team,match,date
A. Andrade,90,Correcaminos Uat,Clausura - 13,2023-03-26T01:05:00+00:00
I. Pineda,90,Correcaminos Uat,Clausura - 13,2023-03-26T01:05:00+00:00
L. López,90,Correcaminos Uat,Clausura - 13,2023-03-26T01:05:00+00:00
G. Moreno,90,Correcaminos Uat,Clausura - 13,2023-03-26T01:05:00+00:00
V. Torres,90,Correcaminos Uat,Clausura - 13,2023-03-26T01:05:00+00:00
A. Zamorano,58,Correcaminos Uat,Clausura - 13,2023-03-26T01:05:00+00:00
G. Hernández,85,Correcaminos Uat,Clausura - 13,2023-03-26T01:05:00+00:00
D. Amador,71,Correcaminos Uat,Clausura - 13,2023-03-26T01:05:00+00:00
F. Tede,90,Correcaminos Uat,Clausura - 13,2023-03-26T01:05:00+00:00
A. Chávez,71,Correcaminos Uat,Clausura - 13,2023-03-26T01:05:00+00:00
D. Pineda,58,Correcaminos Uat,Clausura - 13,2023-03-26T01:05:00+00:00
A. Garza,32,Correcaminos Uat,Clausura - 13,2023-03-26T01:05:00+00:00
S. Treviño,32,Correcaminos Uat,Clausura - 13,2023-03-26T01:05:00+00:00
J. Zárate,19,Correcaminos Uat,Clausura - 13,2023-03-26T01:05:00+00:00
E. Games,19,Correcaminos Uat,Clausura - 13,2023-03-26T01:05:00+00:00
M. Montelongo,5,Correcaminos Uat,Clausura - 13,2023-03-26T01:05:00+00:00
A. Lozano,0,Correcaminos Uat,Clausura - 13,2023-03-26T01:05:00+00:00
A. Ortega,0,Correcaminos Uat,Clausura - 13,2023-03-26T01:05:00+00:00
M. Viera,0,Correcaminos Uat,Clausura - 13,2023-03-26T01:05:00+00:00
M. Zúñiga,0,Correcaminos Uat,Clausura - 13,2023-03-26T01:05:00+00:00
L. González,0,Correcaminos Uat,Clausura - 13,2023-03-26T01:05:00+00:00
O. González,90,Mineros de Zacatecas,Clausura - 13,2023-03-26T01:05:00+00:00
H. Torres,90,Mineros de Zacatecas,Clausura - 13,2023-03-26T01:05:00+00:00
J. Rodarte,90,Mineros de Zacatecas,Clausura - 13,2023-03-26T01:05:00+00:00
A. Mendoza,90,Mineros de Zacatecas,Clausura - 13,2023-03-26T01:05:00+00:00
J. Jiménez,54,Mineros de Zacatecas,Clausura - 13,2023-03-26T01:05:00+00:00
J. Clemente,67,Mineros de Zacatecas,Clausura - 13,2023-03-26T01:05:00+00:00
H. Meza,90,Mineros de Zacatecas,Clausura - 13,2023-03-26T01:05:00+00:00
J. Rodríguez,67,Mineros de Zacatecas,Clausura - 13,2023-03-26T01:05:00+00:00
K. Chaurand,54,Mineros de Zacatecas,Clausura - 13,2023-03-26T01:05:00+00:00
K. Magaña,90,Mineros de Zacatecas,Clausura - 13,2023-03-26T01:05:00+00:00
J. Vega,74,Mineros de Zacatecas,Clausura - 13,2023-03-26T01:05:00+00:00
